dataset,backbone,combination,seed,method,budget,trajectory_regime,tasks,used,coverage,auroc,aupr,mean_trajectories,webshop_bucket_variant
webshop,gemma3,webshop-gemma3,101,SentSAR,3,complete_z16_ordered_prefix,200,200,1.0,0.5513731060606061,0.8801096906517336,3.0,
webshop,gemma3,webshop-gemma3,101,SentSAR,4,complete_z16_ordered_prefix,200,200,1.0,0.5303030303030303,0.8776748209884284,4.0,
webshop,gemma3,webshop-gemma3,101,SentSAR,6,complete_z16_ordered_prefix,200,200,1.0,0.5348011363636364,0.8831396679884851,6.0,
webshop,gemma3,webshop-gemma3,101,SentSAR,8,complete_z16_ordered_prefix,200,200,1.0,0.5035511363636362,0.8736322589185541,8.0,
webshop,gemma3,webshop-gemma3,101,SentSAR,12,complete_z16_ordered_prefix,200,200,1.0,0.49786931818181823,0.870636752030816,12.0,
webshop,gemma3,webshop-gemma3,101,SentSAR,16,complete_z16_ordered_prefix,200,200,1.0,0.5082859848484849,0.8740159656856668,16.0,
webshop,gemma3,webshop-gemma3,101,UProp,3,strict_z8_n4_prefix,200,200,1.0,0.5556344696969697,0.912722073092374,3.0,
webshop,gemma3,webshop-gemma3,101,UProp,4,strict_z8_n4_prefix,200,200,1.0,0.5833333333333334,0.9211835868537275,4.0,
webshop,gemma3,webshop-gemma3,101,UProp,6,strict_z8_n4_prefix,200,200,1.0,0.6477272727272726,0.9368683117904892,6.0,
webshop,gemma3,webshop-gemma3,101,UProp,8,strict_z8_n4_prefix,200,200,1.0,0.6669034090909091,0.9348184554861867,8.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,BSE-Ciosek-Adaptive,3,complete_z16_ordered_prefix,300,300,1.0,0.6844729673576805,0.6432270085348746,3.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,BSE-Ciosek-Adaptive,4,complete_z16_ordered_prefix,300,300,1.0,0.7352139987995753,0.6617187118459893,4.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,BSE-Ciosek-Adaptive,6,complete_z16_ordered_prefix,300,300,1.0,0.7446788863751789,0.6699969124177092,6.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,BSE-Ciosek-Adaptive,8,complete_z16_ordered_prefix,300,300,1.0,0.7628237684103606,0.7164426689284654,8.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,BSE-Ciosek-Adaptive,12,complete_z16_ordered_prefix,300,300,1.0,0.7722886559859644,0.6905239753869507,12.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,BSE-Ciosek-Adaptive,16,complete_z16_ordered_prefix,300,300,1.0,0.7739507825846068,0.6808808195197987,16.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,BSE-Ciosek-Fixed,3,complete_z16_ordered_prefix,300,300,1.0,0.730643150653308,0.7007004669466801,3.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,BSE-Ciosek-Fixed,4,complete_z16_ordered_prefix,300,300,1.0,0.6891823260538343,0.6466584864407237,4.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,BSE-Ciosek-Fixed,6,complete_z16_ordered_prefix,300,300,1.0,0.7258414515905628,0.6551643248370367,6.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,BSE-Ciosek-Fixed,8,complete_z16_ordered_prefix,300,300,1.0,0.7553903688997645,0.6924981362566046,8.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,BSE-Ciosek-Fixed,12,complete_z16_ordered_prefix,300,300,1.0,0.7713652523200517,0.6841583500242833,12.0,
