dataset,backbone,combination,seed,method,budget,trajectory_regime,tasks,used,coverage,auroc,aupr,mean_trajectories
dbbench,qwen35,dbbench-qwen35,101,SentSAR,2,complete_z16_ordered_prefix,300,300,1.0,0.7027715067966762,0.5939175224404663,
dbbench,qwen35,dbbench-qwen35,101,UProp,2,strict_z8_n4_prefix,300,300,1.0,0.6791392478024881,0.5066675642897547,
hotpotqa,gemma3,hotpotqa-gemma3,101,BSE-Ciosek-Adaptive,2,complete_z16_ordered_prefix,1000,1000,1.0,0.608918367100383,0.5420218604191447,
hotpotqa,gemma3,hotpotqa-gemma3,101,BSE-Ciosek-Fixed,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5963015314977912,0.5357151499026518,
hotpotqa,gemma3,hotpotqa-gemma3,101,CoCoA-MaxProb,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5762426556163645,0.5258788684603771,
hotpotqa,gemma3,hotpotqa-gemma3,101,CoCoA-PPL,2,complete_z16_ordered_prefix,1000,1000,1.0,0.574362010156291,0.5358196701706625,
hotpotqa,gemma3,hotpotqa-gemma3,101,Degree,2,strict_z8_n4_prefix,1000,1000,1.0,0.4940358973739424,0.4542752996543533,
hotpotqa,gemma3,hotpotqa-gemma3,101,EigV,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5861230916683782,0.5136044629383203,
hotpotqa,gemma3,hotpotqa-gemma3,101,KLE,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5302735594134963,0.477683046881304,
hotpotqa,gemma3,hotpotqa-gemma3,101,LS,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5,0.459,
hotpotqa,gemma3,hotpotqa-gemma3,101,MC-OE,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5981801634188283,0.5221483902202857,
hotpotqa,gemma3,hotpotqa-gemma3,101,PE,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5063164719574418,0.473093993200668,
hotpotqa,gemma3,hotpotqa-gemma3,101,PPL,2,complete_z16_ordered_prefix,1000,1000,1.0,0.4826654424349325,0.4642740387760896,
hotpotqa,gemma3,hotpotqa-gemma3,101,SD,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5,0.459,
hotpotqa,gemma3,hotpotqa-gemma3,101,SE,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5,0.459,
hotpotqa,gemma3,hotpotqa-gemma3,101,SNNE,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5875708262356082,0.4981424421150177,
hotpotqa,gemma3,hotpotqa-gemma3,101,SentSAR,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5063164719574418,0.473093993200668,
hotpotqa,gemma3,hotpotqa-gemma3,101,UProp,2,strict_z8_n4_prefix,1000,1000,1.0,0.5386619630394776,0.4855075191124908,
dbbench,gemma3,dbbench-gemma3,202,BSE-Ciosek-Adaptive,2,complete_z16_ordered_prefix,300,300,1.0,0.5751942418609085,0.6829406008183716,
dbbench,gemma3,dbbench-gemma3,202,BSE-Ciosek-Fixed,2,complete_z16_ordered_prefix,300,300,1.0,0.5979789313122646,0.6980228327380764,
dbbench,gemma3,dbbench-gemma3,202,CoCoA-MaxProb,2,complete_z16_ordered_prefix,300,300,1.0,0.6825396825396824,0.7995808617398563,
dbbench,gemma3,dbbench-gemma3,202,CoCoA-PPL,2,complete_z16_ordered_prefix,300,300,1.0,0.6569903236569904,0.7749141227324889,
dbbench,gemma3,dbbench-gemma3,202,Degree,2,strict_z8_n4_prefix,300,300,1.0,0.49668716335383,0.6596823125873024,
dbbench,gemma3,dbbench-gemma3,202,EigV,2,complete_z16_ordered_prefix,300,300,1.0,0.6133514466847799,0.7432525525965622,
dbbench,gemma3,dbbench-gemma3,202,KLE,2,complete_z16_ordered_prefix,300,300,1.0,0.6083941083941085,0.6984158107687519,
dbbench,gemma3,dbbench-gemma3,202,LS,2,complete_z16_ordered_prefix,300,300,1.0,0.49668716335383,0.6597388877639507,
dbbench,gemma3,dbbench-gemma3,202,MC-OE,2,complete_z16_ordered_prefix,300,300,1.0,0.6025311025311026,0.691068524970964,
dbbench,gemma3,dbbench-gemma3,202,PE,2,complete_z16_ordered_prefix,300,300,1.0,0.6063206063206064,0.7273905444076593,
dbbench,gemma3,dbbench-gemma3,202,PPL,2,complete_z16_ordered_prefix,300,300,1.0,0.4590781257447923,0.6095964265709908,
dbbench,gemma3,dbbench-gemma3,202,SD,2,complete_z16_ordered_prefix,300,300,1.0,0.5015968349301683,0.6181503716759476,
dbbench,gemma3,dbbench-gemma3,202,SE,2,complete_z16_ordered_prefix,300,300,1.0,0.5548405548405548,0.694310781861041,
dbbench,gemma3,dbbench-gemma3,202,SNNE,2,complete_z16_ordered_prefix,300,300,1.0,0.6312502979169647,0.6939161792794115,
dbbench,gemma3,dbbench-gemma3,202,SentSAR,2,complete_z16_ordered_prefix,300,300,1.0,0.5896372563039229,0.7117863568702176,
dbbench,gemma3,dbbench-gemma3,202,UProp,2,strict_z8_n4_prefix,300,300,1.0,0.5651842318508985,0.7188067808326335,
hotpotqa,qwen35,hotpotqa-qwen35,101,BSE-Ciosek-Adaptive,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5811301509587923,0.4779498627963496,
hotpotqa,qwen35,hotpotqa-qwen35,101,BSE-Ciosek-Fixed,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5894859241126071,0.4834454691367362,
hotpotqa,qwen35,hotpotqa-qwen35,101,CoCoA-MaxProb,2,complete_z16_ordered_prefix,1000,998,0.998,0.5912101957796159,0.5021234711407867,
hotpotqa,qwen35,hotpotqa-qwen35,101,CoCoA-PPL,2,complete_z16_ordered_prefix,1000,998,0.998,0.595528080589592,0.4979397405945865,
hotpotqa,qwen35,hotpotqa-qwen35,101,Degree,2,strict_z8_n4_prefix,1000,1000,1.0,0.5452305181558548,0.4629348401458549,
hotpotqa,qwen35,hotpotqa-qwen35,101,EigV,2,complete_z16_ordered_prefix,1000,998,0.998,0.6024350576195918,0.4959348989886629,
hotpotqa,qwen35,hotpotqa-qwen35,101,KLE,2,complete_z16_ordered_prefix,1000,998,0.998,0.5405815625499281,0.4538159182403423,
hotpotqa,qwen35,hotpotqa-qwen35,101,LS,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5,0.43,
hotpotqa,qwen35,hotpotqa-qwen35,101,MC-OE,2,complete_z16_ordered_prefix,1000,1000,1.0,0.6001223990208079,0.4893777359781122,
hotpotqa,qwen35,hotpotqa-qwen35,101,PE,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5351570787433702,0.4539109999233382,
hotpotqa,qwen35,hotpotqa-qwen35,101,PPL,2,complete_z16_ordered_prefix,1000,1000,1.0,0.508702570379437,0.4282372173181941,
hotpotqa,qwen35,hotpotqa-qwen35,101,SD,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5,0.43,
hotpotqa,qwen35,hotpotqa-qwen35,101,SE,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5,0.43,
hotpotqa,qwen35,hotpotqa-qwen35,101,SNNE,2,complete_z16_ordered_prefix,1000,998,0.998,0.5974535130949894,0.4787082501770635,
