setting,rho,window,dataset,backbone,seed,cell,delta_auroc,delta_aupr,saving,mean_trajectories
rho70_w2,0.7,2,webshop,qwen35,303,webshop-qwen35-seed303,-0.013775971093044237,-0.005232848396458896,0.23911458333333332,6.523333333333333
rho70_w4,0.7,4,dbbench,gemma3,101,dbbench-gemma3-seed101,0.0034079218106995803,0.005409706349143395,0.2896990740740741,5.859444444444445
rho70_w4,0.7,4,dbbench,gemma3,202,dbbench-gemma3-seed202,0.0028043916932806354,0.00018296106158797545,0.29038194444444443,5.8549999999999995
rho70_w4,0.7,4,dbbench,gemma3,303,dbbench-gemma3-seed303,0.002984105876393084,0.002811839466243027,0.28974537037037035,5.861111111111112
rho70_w4,0.7,4,dbbench,gptoss20b,101,dbbench-gptoss20b-seed101,-0.02045339119996305,-0.02226056156441362,0.2913310185185185,5.851666666666667
rho70_w4,0.7,4,dbbench,gptoss20b,202,dbbench-gptoss20b-seed202,-0.021535448491970272,-0.016889998703739344,0.29005787037037034,5.858888888888889
rho70_w4,0.7,4,dbbench,gptoss20b,303,dbbench-gptoss20b-seed303,-0.03252594093448763,-0.04222707313320678,0.2916666666666667,5.847777777777778
rho70_w4,0.7,4,dbbench,qwen35,101,dbbench-qwen35-seed101,0.008581904350192904,0.011676713333094677,0.2903356481481481,5.858888888888889
rho70_w4,0.7,4,dbbench,qwen35,202,dbbench-qwen35-seed202,-0.008737818590704624,-0.014123575552957087,0.29096064814814815,5.854444444444444
rho70_w4,0.7,4,dbbench,qwen35,303,dbbench-qwen35-seed303,-0.00033126685911695947,-0.00887702030765325,0.29050925925925924,5.856111111111111
rho70_w4,0.7,4,hotpotqa,gemma3,101,hotpotqa-gemma3-seed101,-0.01419813492590847,-0.00931564586145737,0.29120138888888886,5.852166666666666
rho70_w4,0.7,4,hotpotqa,gemma3,202,hotpotqa-gemma3-seed202,-0.018182354613581402,-0.019040404869449745,0.29048611111111106,5.855833333333333
rho70_w4,0.7,4,hotpotqa,gemma3,303,hotpotqa-gemma3-seed303,-0.012373279029616177,-0.014713411710932342,0.29096527777777775,5.853000000000001
rho70_w4,0.7,4,hotpotqa,gptoss20b,101,hotpotqa-gptoss20b-seed101,-0.012208181623473924,-0.025025272510457164,0.2910798611111111,5.8525
rho70_w4,0.7,4,hotpotqa,gptoss20b,202,hotpotqa-gptoss20b-seed202,-0.01730636412640661,-0.028680728987982223,0.29208333333333336,5.847666666666666
rho70_w4,0.7,4,hotpotqa,gptoss20b,303,hotpotqa-gptoss20b-seed303,-0.012274645186037547,-0.025397934713872455,0.2917118055555556,5.8500000000000005
rho70_w4,0.7,4,hotpotqa,qwen35,101,hotpotqa-qwen35-seed101,-0.01591255269957838,-0.022572849710586484,0.29053124999999996,5.856833333333333
rho70_w4,0.7,4,hotpotqa,qwen35,202,hotpotqa-qwen35-seed202,-0.016593711555517403,-0.02967688048001123,0.29102083333333334,5.852166666666666
rho70_w4,0.7,4,hotpotqa,qwen35,303,hotpotqa-qwen35-seed303,-0.016716306109438122,-0.024416239704559844,0.29084375,5.8534999999999995
rho70_w4,0.7,4,strategyqa,gemma3,101,strategyqa-gemma3-seed101,-0.023790951638065494,-0.013668727089731653,0.2916565583050299,5.851528384279476
rho70_w4,0.7,4,strategyqa,gemma3,202,strategyqa-gemma3-seed202,-0.027015881992553836,-0.014996777769181985,0.29217713892932234,5.847404172731683
