dataset,backbone,seed,budget,count_mse,fused_mse,coverage95,mean_variance
dbbench,gptoss20b,303,3,0.26045674087905024,0.2567736925422789,0.72,0.04377751370313794
dbbench,gptoss20b,303,4,0.19574267529906636,0.1929340615672061,0.7333333333333333,0.039367850913976675
dbbench,gptoss20b,303,6,0.12217702824540211,0.12240841717147913,0.75,0.03411113533876282
dbbench,gptoss20b,303,8,0.07575488589508585,0.07561703437861145,0.8566666666666667,0.030684700158507716
dbbench,gptoss20b,303,12,0.02919852191447288,0.02924125329268271,0.95,0.02578848383316418
dbbench,gptoss20b,303,16,0.012231836881611988,0.012647767531836246,0.9933333333333333,0.022659584013322645
dbbench,qwen35,101,3,0.2405212993105973,0.23665690288733568,0.74,0.043769188921217936
dbbench,qwen35,101,4,0.18512822470581652,0.18311510308096327,0.7566666666666667,0.0399532716331056
dbbench,qwen35,101,6,0.10908608633735206,0.10816275374598826,0.78,0.03325034692324421
dbbench,qwen35,101,8,0.06475761707323706,0.06509711546414991,0.8533333333333334,0.02973088170510354
dbbench,qwen35,101,12,0.02961201055241454,0.030717751788799486,0.9433333333333334,0.02467571285632273
dbbench,qwen35,101,16,0.01162591645090143,0.012385204174259819,0.9933333333333333,0.021470111327813172
dbbench,qwen35,202,3,0.22657685807870892,0.21829157758347761,0.7633333333333333,0.04357122703356998
dbbench,qwen35,202,4,0.1624616204972534,0.15672760522804155,0.8033333333333333,0.03948872848819595
dbbench,qwen35,202,6,0.09799149487605231,0.0964221515210291,0.8433333333333334,0.03416468195798481
dbbench,qwen35,202,8,0.06371285496924481,0.06388109057902808,0.8833333333333333,0.030214877110343045
dbbench,qwen35,202,12,0.029557613368754374,0.030358150746489704,0.9566666666666667,0.02515772620195192
dbbench,qwen35,202,16,0.011614964531052365,0.012045021439631664,0.9933333333333333,0.021654330629203775
dbbench,qwen35,303,3,0.22651023390049393,0.21738722201108152,0.7633333333333333,0.043958740815163884
dbbench,qwen35,303,4,0.16929124821560418,0.16347453169205928,0.78,0.0397332240236546
dbbench,qwen35,303,6,0.09706884104423782,0.09593001961455427,0.81,0.03320188458182908
